Document,Primary Introducer,Status,Description,Document ID,Year
LB144,Hughes,Referral,Provide for voter approval of nonpartisan nomination and partisan election of county officers,37614,2019
LB145,"Hansen, M.",Passed,Change power of attorney provisions relating to banks and other financial institutions,37267,2019
LB146,"Hansen, M.",Passed,Change liability and damages provisions for refusal to accept acknowledged power of attorney,37266,2019
LB147,Groene,General File,Change the Student Discipline Act to provide for use by a teacher or administrator of necessary physical contact or physical  restraint and provide procedures and grounds for removal from a class in response to student behavior,36792,2019
LB148,Groene,Passed,Change requirements for public hearings on proposed budget statements and notices of meetings of public bodies,36886,2019
LB149,Quick,Passed,"Change provisions relating to sale and use of tobacco products, electronic nicotine delivery systems, and alternative nicotine products",36920,2019
LB150,Brewer,Referral,Change provisions relating to access to public records and provide for fees,37331,2019
LB151,Brewer,Referral,Adopt the Government Neutrality in Contracting Act,37655,2019
LB152,Brewer,Passed,State rights of Nebraska National Guard members and provide for confidentiality of members' residential addresses,36929,2019
LB153,Brewer,Final Reading,Change provisions relating to the taxation of military retirement benefits,37489,2019
LB154,Brewer,Passed,Authorize a study to improve reporting and investigation of missing Native American women and children,37356,2019
LB155,Brewer,Passed,Change eminent domain provisions that apply to privately developed renewable energy generation facilities,37251,2019
LB156,Brewer,Passed,"Provide for the operation, titling, and registration of former military vehicles",37043,2019
LB157,Brewer,General File,"Provide for voluntary registration, duties for the Department of Agriculture, and a cause of action under the Nebraska Apiary Act",37394,2019
LB158,Brewer,Referral,Change provisions relating to the assessed value of real property,36928,2019
LB159,Williams,Passed,Change provisions of the Nebraska Life and Health Insurance Guaranty Association Act,37160,2019
LB160,Quick,Passed,Include early childhood infrastructure development and early childhood care and education programs under the Local Option Municipal Economic Development Act for certain cities and villages,36878,2019
LB161,Erdman,Referral,Eliminate learning communities,37001,2019
LB162,Hunt,Referral,Impose sales and use taxes on certain services,37648,2019
LB163,Hunt,Referral,Permit counties to conduct elections by mail,37081,2019
LB164,Hunt,Referral,"Prohibit electronic transmission or online posting of certain photographs or videos, redefine sexual exploitation, and provide for a registrable offense under the Sex Offender Registration Act",37396,2019
LB165,Hunt,Referral,Adopt the Too Young to Suspend Act,37405,2019
LB166,Hunt,Referral,Prohibit defendant's discovery of victim's actual or perceived gender or sexual orientation as defense to crime,36949,2019
LB167,Hunt,Referral,Prohibit conversion therapy,36993,2019
LB168,Hunt,Referral,Define offense of child abuse to include subjecting a child to conversion therapy,37414,2019
LB169,Hunt,General File,Change provisions relating to eligibility for the Supplemental Nutrition Assistance Program,37600,2019
LB170,Hunt,Referral,Provide a sales and use tax exemption for feminine hygiene products,36946,2019
LB171,Pansing Brooks,Referral,Appropriate funds to the Department of Administrative Services,37328,2019
LB172,Pansing Brooks,Indefinitely postponed,"Change provisions relating to cofiduciaries, payable on death accounts, and competency for persons eighteen years of age or older entering into certain financial agreements",37505,2019
LB173,Pansing Brooks,Referral,Define and redefine terms of coercion and without consent and provide for applicability with respect to sexual assault,37239,2019
LB174,Bolz,Referral,State intent relating to appropriations for the Office of Violence Prevention,37280,2019
LB175,Chambers,Referral,Change provisions regarding candidate committee funds,37669,2019
LB176,Chambers,Referral,Eliminate certain mandatory minimum penalties,37621,2019
LB177,Lindstrom,Passed,Change a termination date for bonding authority of natural resources districts,36982,2019
LB178,Hilgers,Indefinitely postponed,"Change provisions relating to workers' compensation claims, tort claims against the state, and state vehicles",36942,2019
LB179,Hilgers,Passed,Authorize the appeal of certain motions as final orders,36943,2019
LB180,Bolz,Passed,Change program eligibility criteria under the Community College Gap Assistance Program Act,37054,2019
LB181,Bolz,Referral,Require a report from the Department of Health and Human Services to the Appropriations Committee of the Legislature regarding long-term care sustainability,37513,2019
LB182,Bolz,Referral,Adopt the School District Local Option Income Surtax Act,37228,2019
LB183,Briese,Select File,Change the valuation of agricultural land and horticultural land for purposes of certain school district taxes,37344,2019
LB184,Friesen,Passed,Adopt the Small Wireless Facilities Deployment Act,37181,2019
LB185,Friesen,Passed,Change provisions relating to the special valuation of agricultural and horticultural land,37260,2019
LB186,Lindstrom,Passed,Change provisions governing certain documents and adopt the Online Notary Public Act,37175,2019
LB186A,Lindstrom,Passed,Appropriation Bill,38156,2019
LB187,Lindstrom,General File,Change the Sports Arena Facility Financing Assistance Act,36884,2019
LB188,Lindstrom,Select File,Change the rate of interest charged on loans under the Nebraska Installment Loan Act,37480,2019
LB189,Erdman,Referral,Change provisions relating to budget limitations for cities and villages,36952,2019
LB190,La Grone,Passed,Change provisions relating to rule and regulation authority of the Department of Transportation and the Nebraska Aeronautics Commission and provisions relating to school bus loading area warning signs,37032,2019
LB191,La Grone,Indefinitely postponed,Change provisions relating to budgets and public hearing notice for certain governmental entities,37304,2019
LB192,McCollister,Passed,Change provisions relating to veteran designations on operators' licenses and state identification cards,37346,2019
LB192A,McCollister,Passed,Appropriation Bill,38148,2019
LB193,Urban Affairs Committee,Passed,"Change provisions relating to cities of particular classes and villages, correct and include references as prescribed, and eliminate obsolete provisions and repeal definitions",36831,2019
LB194,Urban Affairs Committee,Passed,Change provisions relating to cities of the first class as prescribed,36830,2019
LB195,Urban Affairs Committee,Passed,Correct statutory references relating to the State Fire Code,36915,2019
LB196,Urban Affairs Committee,Passed,Change provisions relating to notices of certain zoning matters in cities of the metropolitan class and for hearings under the Business Improvement District Act,36839,2019
LB197,Urban Affairs Committee,Referral,Provide a procedure for detachment of real property from the corporate limits of a city or village and eliminate existing detachment provisions,37168,2019
LB198,Halloran,Referral,Change provisions relating to use of a deadly weapon to commit a felony and prohibit use of a facsimile firearm to commit a felony,36891,2019
LB199,Wishart,Referral,Appropriate funds to the Supreme Court for court appointed special advocate state aid,36966,2019
LB200,Wishart,Passed,Change provisions relating to licensure under the Health Care Facility Licensure Act of mental health substance use treatment centers providing civil protective custody of intoxicated persons,37520,2019
LB201,McCollister,Referral,Prohibit certain unlawful acts as prescribed relating to the Weights and Measures Act,37347,2019
LB202,Wishart,Referral,Designate funds appropriated to the Department of Health and Human Services for state aid,37207,2019
LB203,Briese,Passed,Change provisions of the Music Licensing Agency Act,37462,2019
LB204,Briese,Referral,Require approval of voters for bonds under the Interlocal Cooperation Act,36989,2019
LB205,Kolterman,General File,Adopt the Surgical Technologist Registration Act,36848,2019
LB205A,Kolterman,General File,Appropriation Bill,40371,2019
LB206,Morfeld,Select File,Protect free speech rights of student journalists and student media advisers,37097,2019
LB207,Morfeld,Referral,Create a Death Penalty Defense Standards Advisory Council,37577,2019
LB208,Walz,Referral,Provide an exception for leasing dark fiber or providing certain telecommunications and related services by a state agency or political subdivision,37271,2019
LB209,Albrecht,Passed,"Require information, materials, and reporting regarding continuing a viable pregnancy after taking mifepristone and change provisions relating to public indecency",37284,2019
LB210,Crawford,Referral,Change independent expenditure reporting requirements and require electioneering reporting,36868,2019
LB211,Crawford,Referral,Provide for nonpartisan nomination and election of county officers,37627,2019
LB212,"Government, Military and Veterans Affairs Committee",Passed,"Change provisions relating to budget limitations and procedures, hearing notices for county budgets and property tax requests, and videoconferences and telephone conferences",36874,2019
LB213,McCollister,Referral,"Provide for setting aside certain infraction, misdemeanor, and felony convictions",37132,2019
LB214,La Grone,Passed,Authorize cession of certain land to the federal government,37336,2019
LB215,Linehan,Indefinitely postponed,Provide for Prostate Cancer Awareness Plates,36834,2019
LB216,Kolterman,Referral,Prohibit releasing a person in custody to avoid medical costs,37603,2019
LB217,Pansing Brooks,Passed,"Prohibit discrimination against an employee for communicating about employee wages, benefits, or other compensation",37096,2019
LB218,Lindstrom,Passed,Redefine real property and gross receipts for tax purposes,37342,2019
LB219,Wishart,Select File,Change requirements for foster care transition proposals,37188,2019
LB220,Wishart,Passed,Change provisions regarding vending facility programs in state buildings for blind vendors,36971,2019
LB221,La Grone,Passed,Change provisions relating to limitations on powers under the Title Insurers Act,37329,2019
LB222,Albrecht,Passed,Change the Volunteer Emergency Responders Incentive Act,36922,2019
LB223,Albrecht,Passed,Provide duties with regard to a state-sponsored insurance program for members of the Nebraska National Guard,37094,2019
LB224,Albrecht,Passed,"Rename the Nebraska Educational, Health, and Social Services Finance Authority Act and provide for applicability",36802,2019
LB225,Quick,Referral,Appropriate funds to the Nebraska State Historical Society,37215,2019
LB226,Quick,Referral,State intent relating to appropriations for the Youth Rehabilitation and Treatment Center-Kearney and the Youth Rehabilitation and Treatment Center-Geneva,37312,2019
LB227,Hughes,Passed,Change provisions governing determination of a public or private nuisance under the Nebraska Right to Farm Act,37299,2019
LB228,Hughes,Referral,Prohibit certain insurance practices relating to a person's status as a living organ donor,37562,2019
LB229,Groene,Referral,Prohibit certain unlawful acts as prescribed under the Weights and Measures Act,37658,2019
LB230,Pansing Brooks,Passed,Provide for room confinement of juveniles as prescribed,37296,2019
LB231,Pansing Brooks,General File,Change provisions relating to legal defense of juveniles,36923,2019
LB231A,Pansing Brooks,General File,Appropriation Bill,38884,2019
LB232,Slama,Referral,Reduce the threshold amount for claims against the state for prosecution costs,37590,2019
LB233,Wayne,Referral,Prohibit bringing a cell phone into a detention facility,37360,2019
LB234,Wayne,Referral,Provide requirements for payment of claims by cities and villages,37398,2019
LB235,Crawford,Passed,Change provisions relating to making and serving alcoholic liquor by nonlicensed persons as prescribed,36864,2019
LB236,Crawford,Passed,Change access to sales and use tax information with respect to the Nebraska Advantage Transformational Tourism and Redevelopment Act,36964,2019
LB237,Crawford,Passed,Change provisions relating to sales and use tax collection fees and authorize use of certain fees for revenue enforcement,37272,2019
LB237A,Crawford,Passed,Appropriation Bill,39039,2019
LB238,Pansing Brooks,Select File,Change requirements for witnessing death penalty executions,37092,2019
LB239,Dorn,Indefinitely postponed,Change requirements for notice of hearing on county budget,37047,2019
LB240,"Hansen, M.",Referral,Change procedures for determining competency to stand trial,37123,2019
LB241,Bolz,Referral,Provide for teacher mentoring program grants using income from solar and wind agreements on school lands,37618,2019
LB242,Lindstrom,General File,Adopt the Infrastructure Improvement and Replacement Assistance Act and provide for a turnback of state sales tax revenue,37498,2019
LB243,Gragert,Passed,Create the Healthy Soils Task Force and add a use for a fund,37263,2019
LB244,Erdman,Passed,Provide for mobile massage therapy establishments,37313,2019
LB245,Erdman,Referral,Eliminate an exception to the medicaid preferred drug list,37100,2019
LB246,Brewer,Indefinitely postponed,Change provisions relating to elections,37206,2019
LB247,Bolz,Select File,Adopt the Advance Mental Health Care Directives Act,37306,2019
LB248,Howard,Passed,Change terminology relating to hearing-impaired persons,36991,2019
LB249,Howard,Referral,Change the statute of limitations for civil actions arising from a sexual assault,37419,2019
LB250,Walz,Referral,Change provisions relating to agricultural land and horticultural land receiving special valuations,37558,2019
LB251,Walz,Referral,Adopt the Child Hunger and Workforce Readiness Act,37343,2019
LB252,Geist,Passed,Provide a condition relating to advertisements by the state lottery,37637,2019
LB253,McCollister,Referral,Adopt the Redistricting Act,37440,2019
LB254,McCollister,Final Reading,Adopt the Fair Chance Hiring Act,37345,2019
LB255,McCollister,General File,Change provisions relating to the Supplemental Nutrition Assistance Program,37447,2019
LB256,Arch,Passed,Authorize participation in insurance coverage for members of a community college board of governors,37450,2019
LB257,Kolterman,Referral,Change provisions relating to loss payouts by insurers,37276,2019
LB258,Williams,Passed,Change provisions relating to banking and finance,37169,2019
LB259,Lindstrom,Passed,"Change consumer protection provisions under the Securities Act of Nebraska, the Commodity Code, and the Consumer Rental Purchase Agreement Act",37170,2019
LB260,"Hansen, B.",Passed,Change provisions relating to medicaid recovery audit contractors and a health insurance premium assistance payment program,37066,2019
LB261,DeBoer,Referral,Require use of redistricting maps drawn using state-issued computer software,37286,2019
LB262,DeBoer,Referral,Change membership and duties of long-term restrictive housing work group,37362,2019
LB263,Clements,Referral,Change provisions relating to the taxation of military retirement benefits,37185,2019
LB264,La Grone,Passed,Redefine premises under the Disposition of Personal Property Landlord and Tenant Act,37459,2019
LB265,La Grone,Referral,Adopt the Unsecured Consumer Loan Licensing Act and clarify licensing provisions under the Delayed Deposit Services Licensing Act and the Nebraska Installment Loan Act,37586,2019
LB266,Lindstrom,Final Reading,Change the School Readiness Tax Credit Act,37511,2019
LB267,Bolz,General File,Provide a duty for the county board relating to deficient bridges and authorize a tax levy,37503,2019
LB268,Friesen,Passed,Change provisions relating to a certificate of convenience and necessity for a telecommunications company,37730,2019
LB269,Friesen,Passed,Change provisions relating to ignition interlock permits and school permits,36975,2019
LB270,Friesen,Passed,"Change provisions relating to motorboats, motor vehicles, state identification cards, and operators' licenses",37017,2019
LB271,Morfeld,Referral,"Change provisions relating to releases, covenants not to sue, or similar agreements on joint and several liability",37339,2019
LB272,Morfeld,Referral,Adopt the Apprenticeship Training Program Tax Credit Act,37120,2019
LB273,"Hansen, M.",Referral,Provide a restricted funds budget limitation as prescribed for certain political subdivisions,37551,2019
LB274,"Hansen, M.",Referral,Change provisions relating to stacking of coverage under the Uninsured and Underinsured Motorist Insurance Coverage Act,37203,2019
LB275,"Hansen, M.",Referral,Require notification when persons prohibited by state or federal law attempt to obtain a handgun purchase permit or concealed handgun permit,37471,2019
LB276,McCollister,Referral,Change provisions relating to the taxation of income from certain small business corporations and limited liability companies,37493,2019
LB277,McCollister,Referral,Change membership provisions for the Board of Parole,37378,2019
LB278,Bostelman,Referral,Provide a veteran notation on an operator's license or a state identification card for certain commissioned officers as prescribed,37247,2019
LB279,Bostelman,Referral,Provide a sales and use tax exemption for food sold by veterans service organizations,37615,2019
LB280,Brewer,Indefinitely postponed,Change a penalty for violations of the Nebraska Political Accountability and Disclosure Act,37721,2019
LB281,McCollister,Passed,Provide for posting by public schools of a toll-free number set up to report child abuse or neglect,37349,2019
LB282,"Hansen, M.",Referral,Change provisions relating to bail,36855,2019
LB283,Pansing Brooks,General File,Provide for a climate change study,37279,2019
LB284,McCollister,Passed,Change sales and use tax provisions relating to out-of-state retailers and multivendor marketplace platforms,37348,2019
LB285,McCollister,Referral,State intent to appropriate funds to the Nebraska Power Review Board for a study and state public policy,37492,2019
LB286,McCollister,Referral,Create the Coordinated Reentry Council,37379,2019
LB287,Quick,Passed,"Change and provide duties for the Game and Parks Commission and change provisions relating to stamps, permits, fees, and hunter orange display requirements as prescribed",37388,2019
LB288,Linehan,General File,Change income tax rates,37703,2019
LB289,Linehan,General File,Change provisions relating to county assessor inspections of real property for property tax purposes,37704,2019
LB289A,Linehan,General File,Appropriation Bill,40349,2019
LB290,Linehan,Referral,Change the sales and use tax rate,37705,2019
LB291,Linehan,Referral,Change sales and use tax provisions,37294,2019
LB292,Vargas,Referral,Appropriate funds to the State Department of Education,37363,2019
LB293,Speaker Scheer,Passed,"Provide, change, and eliminate provisions relating to appropriations",37438,2019
LB294,Speaker Scheer,Passed,"Appropriate funds for the expenses of Nebraska State Government for the biennium ending June 30, 2021",37320,2019
LB295,Speaker Scheer,Passed,Appropriate funds for salaries of members of the Legislature,37321,2019
LB296,Speaker Scheer,Passed,Appropriate funds for salaries of constitutional officers,37322,2019
LB297,Speaker Scheer,Passed,Appropriate funds for capital construction and property acquisition,37323,2019
LB298,Speaker Scheer,Passed,"Create and repeal funds and provide, change, and eliminate sources, uses, and transfers of funds",37439,2019
LB299,Speaker Scheer,Passed,Change Cash Reserve Fund provisions,37437,2019
LB300,Lathrop,Passed,Change judges' salaries,37436,2019
LB300A,Lathrop,Passed,Appropriation Bill,38531,2019
LB301,Lowe,Passed,"Transfer duties under the Boiler Inspection Act, the Nebraska Amusement Ride Act, and the Conveyance Safety Act from the Department of Labor to the State Fire Marshal",37040,2019
LB302,Hughes,Passed,Merge the State Energy Office with and rename the Department of Environmental Quality,37198,2019
LB303,Lindstrom,General File,Change the amount of relief under the Property Tax Credit Act,37488,2019
LB304,Crawford,Passed,Exempt certain operations from the definition of a food establishment under the Nebraska Pure Food Act,36865,2019
LB305,Crawford,General File,Adopt the Healthy and Safe Families and Workplaces Act,36967,2019
LB306,Crawford,Failed on Final Reading,Change provisions relating to good cause for voluntarily leaving employment under the Employment Security Law,36980,2019
LB307,Albrecht,Passed,Change provisions relating to certain Department of Environmental Quality Funds,37072,2019
LB308,Lathrop,Passed,"Change provisions relating to commencement of civil actions, voluntary appearances, and waivers of defenses",37411,2019
LB309,Lathrop,Passed,Increase the number of district court judges in Douglas County,37358,2019
LB309A,Lathrop,Indefinitely postponed,Appropriation Bill,38397,2019
LB310,Vargas,Passed,Change procedures for tax credits under the Nebraska Job Creation and Mainstreet Revitalization Act,37661,2019
LB311,Crawford,General File,Adopt the Paid Family and Medical Leave Insurance Act,36887,2019
LB311A,Crawford,General File,Appropriation Bill,40362,2019
LB312,"Hansen, B.",Final Reading,Change and eliminate provisions relating to dental hygienists,37515,2019
LB313,Bolz,Referral,Provide the office of Inspector General of the Nebraska Correctional System with oversight authority over regional centers,37310,2019
LB314,Briese,Referral,Adopt the Remote Seller Sales Tax Collection Act and change revenue and taxation provisions,37353,2019
LB315,Kolterman,Passed,Provide for an inheritance tax exemption and change certain inheritance tax proceedings,37265,2019
LB316,Kolterman,Passed,Provide protections for pharmacies to disclose information regarding drug prices and prohibit insurers from charging covered individuals in excess of certain amounts,37278,2019
LB317,Kolterman,Referral,Eliminate Public Service Commission inspection authority under the Nebraska Uniform Standards for Modular Housing Units Act and eliminate applicability and references to manufactured homes under the Uniform Standard Code for Manufactured Homes and Recreational Vehicles and rename the code,37697,2019
LB318,McCollister,Passed,Change provisions relating to petroleum products liens,37350,2019
LB319,Moser,Passed,"Change provisions relating to notices, rules, and regulations of the Department of Natural Resources",37022,2019
LB320,Albrecht,Passed,Change various provisions of the Pesticide Act and update federal references,37090,2019
LB321,"Hansen, B.",Referral,Update certain standards and regulations and change Director of Agriculture duties and Department of Agriculture fee and permit provisions under the Weights and Measures Act,37086,2019
LB322,Crawford,Select File,Change provisions relating to enforcement of certain tobacco restriction provisions,37341,2019
LB323,Crawford,Final Reading,Change eligibility provisions under the Medical Assistance Act for certain disabled persons,37222,2019
LB323A,Crawford,Final Reading,Appropriation Bill,40338,2019
LB324,La Grone,Referral,Change immunity from liability under the 911 Service System Act,37158,2019
LB325,Bostelman,Referral,Provide for motor vehicle tax exemptions for one hundred percent service-connected disability compensation rated veterans and dependency and indemnity compensation recipients,37711,2019
LB326,Quick,Referral,Appropriate funds to the Department of Health and Human Services,37457,2019
LB327,Bolz,Referral,State intent to appropriate funds for an increase in rates paid to behavioral health service providers,37191,2019
LB328,Bolz,Referral,"Adopt the Nebraska Family First Act, provide for non-court-involved response to reports of child abuse or neglect, and provide for a family finding project",37277,2019
LB329,Bolz,Select File,Change eligibility provisions for transitional child care assistance under the federal child care subsidy program,37281,2019
LB330,Bolz,Indefinitely postponed,"Change the administration, duties, membership, purpose, and reports of the Nebraska Children's Commission",37241,2019
LB331,Bolz,Referral,"Change provisions relating to the Board of Parole, the Department of Correctional Services, and the Office of Probation Administration",37660,2019
LB332,Bolz,Indefinitely postponed,Change eligibility requirements and other provisions of the Young Adult Bridge to Independence Act,37234,2019
LB333,Slama,Passed,Update federal references and redefine a term under the Nebraska Milk Act,37209,2019
LB334,Stinner,Passed,"Change provisions relating to Nebraska planning and development regions, eliminate funding for the Angel Investment Tax Credit Act, provide intent for an appropriation to the Governor's Emergency Program, and increase funding and eliminate a termination date for the Business Innovation Act",37302,2019
LB334A,Stinner,Passed,Appropriation Bill,39088,2019
LB335,"Hansen, M.",Referral,Authorize a 24/7 sobriety program permit for operating a motor vehicle as a condition of bail,37522,2019
LB336,"Hansen, M.",Referral,Change the vote required to exceed certain budget limitations,37556,2019
LB337,Stinner,General File,Require report of federal receipts with the annual state budget report,36826,2019
LB338,Wayne,Referral,Change calculation of gasoline tax and distribution of proceeds,37583,2019
LB339,Lathrop,Passed,Change provisions relating to judicial nominating commissions,37268,2019
LB340,Lathrop,Passed,Change and eliminate  provisions relating to incarceration work camps,37633,2019
LB341,Arch,Referral,Change provisions relating to a determination of ongoing eligibility for a child care subsidy,37098,2019
LB342,La Grone,Indefinitely postponed,Change election provisions for the board of metropolitan utilities districts,37653,2019
LB343,Halloran,Referral,Adopt the School Safety Rapid Response Option Act and authorize schools to allow employees to carry concealed handguns,37375,2019
LB344,Agriculture Committee,Final Reading,"Adopt the Animal Health and Disease Control Act, eliminate and provide duties for the Department of Agriculture, eliminate various acts, terminate and transfer certain funds, create a fund, and provide penalties",37274,2019
LB345,Wishart,General File,Prohibit mandatory overtime for certain state employees,37693,2019
LB346,Wishart,Referral,Change special education reimbursements,37501,2019
LB347,Murman,General File,Exempt reflexology from licensure under the Massage Therapy Practice Act,37629,2019
LB348,Quick,Passed,Adopt changes to the state building code,37575,2019
LB349,Friesen,Referral,Provide sales and use tax collection duties for certain peer-to-peer rentals of vehicles,37546,2019
LB350,Morfeld,Referral,Provide a budget exception for expanded learning opportunity programs,37695,2019
LB351,Morfeld,Referral,Provide for school district levy and bonding authority for cybersecurity and violence prevention,37309,2019
LB352,Morfeld,Passed,Provide requirements relating to the use of jailhouse informants,37475,2019
LB353,Pansing Brooks,Referral,Provide powers and duties for University of Nebraska police departments and police officers as prescribed,37454,2019
LB354,Pansing Brooks,Passed,Change provisions relating to sealing of juvenile records,37297,2019
LB354A,Pansing Brooks,Passed,Appropriation Bill,38396,2019
LB355,La Grone,Passed,"Change provisions relating to money transmitters, installment sales, and mortgage loans",37612,2019
LB356,Scheer,Passed,"Change certain license plate fee distributions, create new license plates, and provide for the discontinuance of certain plates as prescribed",37415,2019
LB357,Walz,Referral,Adopt the Direct Support Professional Tax Credit Act,37124,2019
LB358,Walz,Referral,Change provisions related to early childhood education in the Tax Equity and Educational Opportunities Support Act,37376,2019
LB359,"Hansen, M.",Passed,Change provisions in the Employment Security Law and Nebraska Wage Payment and Collection Act and relating to appointment of the meatpacking industry worker rights coordinator,37114,2019
LB360,"Hansen, M.",Indefinitely postponed,Provide for settlement of claims of nonresident alien dependents under the Nebraska Workers' Compensation Act,37549,2019
LB361,"Hansen, M.",Select File,Prohibit retaliation under the Nebraska Wage Payment and Collection Act and the Wage and Hour Act,37151,2019
LB362,"Hansen, M.",Referral,Require payment of unpaid wages for violations of the Nebraska Wage Payment and Collection Act,37631,2019
LB363,"Hansen, M.",Referral,Adopt the In the Line of Duty Compensation Act,36955,2019
LB364,Quick,Referral,Change provisions relating to a limit on fees under the Nebraska Workers' Compensation Act,37340,2019
LB365,Crawford,Referral,Adopt the Health Care Directives Registry Act,36894,2019
LB366,Bostelman,Referral,Change registration fee for alternative fuel-powered motor vehicles,37712,2019
LB367,Hughes,Referral,Eliminate provisions relating to fund transfers and change a termination date under the Nebraska Litter Reduction and Recycling Act,37514,2019
LB368,Hughes,Indefinitely postponed,"Eliminate overappropriated river basins, subbasins, and reaches",36995,2019
LB369,Vargas,General File,"Require jails, law enforcement agencies, and the Nebraska State Patrol to provide public notice before entering into agreements to enforce federal immigration law and to allow audits of noncomplying entities",37662,2019
LB370,McCollister,Referral,Change motor vehicle liability insurance and financial responsibility requirements,37205,2019
LB371,Erdman,Indefinitely postponed,Change provisions relating to requirements for all-terrain vehicles and utility-type vehicles,37675,2019
LB372,Erdman,Passed,Change provisions relating to classes and subclasses of agricultural land and horticultural land,37726,2019
LB373,Brewer,Referral,Provide setback and zoning requirements for wind energy generation projects,36926,2019
LB374,Brewer,Passed,Provide for raptor permits for wildlife abatement,37392,2019
LB375,Brewer,Passed,"Allow certain library, archive, and museum materials to be withheld from the public",37146,2019
LB376,Friesen,Referral,Provide for safekeeping of prisoners,36933,2019
LB377,DeBoer,Referral,Provide for voidability of certain releases from liability,37611,2019
LB378,"Hansen, B.",General File,"Change helmet provisions for autocycles, motorcycles, and mopeds",37649,2019
LB379,Kolterman,General File,Change provisions under the Delayed Deposit Services Licensing Act and the Nebraska Installment Loan Act,37585,2019
LB380,La Grone,Passed,Change provisions of the Nebraska Property and Liability Insurance Guaranty Association Act,37163,2019
LB381,"Hansen, B.",Passed,Change expense reimbursement provisions for state officers and agencies,37042,2019
LB382,Geist,Referral,Change the Dog and Cat Purchase Protection Act,37295,2019
LB383,Quick,Referral,Provide for an annual adjustment to the minimum wage,37150,2019
LB384,Walz,Passed,Change certain education requirements under the Nebraska Real Estate License Act,37101,2019
LB385,Erdman,Indefinitely postponed,Change election provisions for the board of trustees of the Nebraska State Historical Society,37237,2019
LB386,Erdman,Referral,Change provisions relating to cash reserves under the Nebraska Budget Act,37727,2019
LB387,Pansing Brooks,Passed,Change and modernize provisions relating to juries,37233,2019
LB388,Howard,General File,"Change provisions relating to termination of parental rights, placement of children, and guardianship",37254,2019
LB389,Howard,Referral,Change provisions relating to termination of parental rights,37253,2019
LB390,Pansing Brooks,Passed,Provide duties regarding school resource officers and security guards,37389,2019
LB391,"Hansen, M.",Referral,Change duties of peace officers taking juveniles into custody or interrogating juveniles and prohibit use of statements taken in violation of the rights of a juvenile,37200,2019
LB392,Lathrop,Passed,Change hearsay provisions in the Nebraska Evidence Rules,37735,2019
LB393,Groene,Referral,Increase the documentary stamp tax,37767,2019
LB394,Wishart,Referral,State intent relating to an appropriation to the Department of Transportation,37311,2019
LB395,"Hansen, M.",Referral,Change landlord's power of possession provisions in cases of domestic violence,37011,2019
LB396,"Hansen, M.",General File,Change landlord and tenant provisions relating to continuances and rental deposits,37446,2019
LB397,Briese,Passed,Change provisions relating to tobacco and other nicotine products and tobacco manufacturers,37474,2019
LB398,DeBoer,Referral,Change learning community levy and diversity plan requirements,36944,2019
LB399,Slama,Passed,Change the name and provisions related to the committee on Americanism,36793,2019
LB400,Hunt,General File,Change the minimum wage for persons compensated by way of gratuities,37083,2019
LB401,Quick,Referral,Adopt the Midwest Interstate Passenger Rail Compact,37052,2019
LB402,Hilkemann,Referral,Eliminate an eligibility provision relating to nutrition assistance benefits as prescribed,37102,2019
LB403,Stinner,Referral,Provide a duty for the Department of Health and Human Services when calculating certain medicaid rates,37734,2019
LB404,Stinner,Referral,State intent relating to medicaid budgeting,37733,2019
LB405,Hunt,Passed,Adopt updates to building and energy codes,37416,2019
LB406,Gragert,Passed,Change the Uniform Disposition of Unclaimed Property Act,37539,2019
LB407,Lindstrom,Referral,Grant in-state credit unions powers of out-of-state credit unions as prescribed,37517,2019
LB408,Quick,Referral,Change provisions relating to compensation paid upon the death on an employee under the Nebraska Workers' Compensation Act,37659,2019
LB409,Kolowski,Passed,Adopt design standards for health care facilities,36974,2019
LB410,Kolowski,Referral,Exempt certain sales of clothing and footwear from sales and use taxes,37582,2019
LB411,Scheer,Passed,"Name, change, and transfer provisions relating to the county civil service commission and change provisions relating to metropolitan utilities districts, county boards, elections, and political accountability and disclosure",37671,2019
LB412,Geist,Referral,Require an election regarding creation of a joint public agency,37427,2019
LB413,Brandt,Referral,Change application submission deadlines under the Nebraska Advantage Act,37496,2019
LB414,Brandt,Passed,Change county highway superintendent duties as prescribed and eliminate an annual report requirement,37220,2019
LB415,Friesen,Referral,Repeal recall provisions for political subdivisions,37605,2019
LB416,Friesen,Referral,Change distribution of funds from the temporary school fund and from fines and licenses,36950,2019
LB417,Friesen,Referral,Change application deadlines under certain tax incentive programs,37673,2019
LB418,Cavanaugh,Passed,"Change provisions under the Nebraska Workers' Compensation Act and change provisions relating to tort claims against the state, the State Self-Insured Liability Fund, and state vehicles",37544,2019
LB419,Bolz,Referral,Change the Nebraska Advantage Act and create a fund and grant program,37691,2019
LB420,Bolz,Referral,Adopt the Property Tax Circuit Breaker Act,37055,2019
LB421,Hilgers,Referral,Adopt the Asbestos Trust Claims Transparency Act,37337,2019
LB422,Howard,Referral,Adopt the Art Therapy Practice Act,37273,2019
LB423,Howard,Referral,Change and eliminate provisions relating to  school-based health centers under the Medical Assistance Act,36986,2019
LB424,Quick,General File,Change the Nebraska Municipal Land Bank Act,37082,2019
LB425,Hilkemann,Referral,Appropriate funds to the Board of Regents of the University of Nebraska,37677,2019
