Document,Primary Introducer,Status,Description,Document ID,Year
LB302,Friend,Indefinitely postponed,"Change provisions relating to buildings, structures, and outdoor advertising signs, displays, and devices",536,2007
LB303,Synowiecki,Indefinitely postponed,Adopt a deferred retirement option plan (DROP) retirement program for the Nebraska State Patrol,308,2007
LB303A,Synowiecki,Indefinitely postponed,Appropriations bill,2017,2007
LB304,Gay,Final Reading,Change qualifications for tax credits relating to long-term care insurance,337,2007
LB305,Fischer,Final Reading,Change distribution of certain sales tax revenue,592,2007
LB305A,Fischer,Final Reading,Appropriations bill,1218,2007
LB306,Stuthman,Indefinitely postponed,Provide for the protection of social security numbers in support orders,612,2007
LB307,Stuthman,Final Reading,Change provisions relating to  operation of all-terrain vehicles ,497,2007
LB308,Stuthman,Passed,Adopt the Automated Medication Systems Act,417,2007
LB309,Heidemann,Indefinitely postponed,Change provisions relating to handicapped or disabled parking permits,277,2007
LB310,Aguilar,Indefinitely postponed,Change provisions relating to early voting,617,2007
LB311,Aguilar,Final Reading,Change provisions relating to petition signature verification,618,2007
LB312,Aguilar,Passed,"Change provisions relating to resignations, vacancy appointments, and recall elections",702,2007
LB313,Natural Resources Committee ,Final Reading,Amend the Livestock Waste Management Act with respect to certain engineering requirements,83,2007
LB314,Louden,Indefinitely postponed,Redefine water well for purposes of registration,560,2007
LB315,Janssen,Final Reading,Update references to the Internal Revenue Code of 1986,806,2007
LB316,Friend,Final Reading,Create the Special Education Services Task Force,696,2007
LB316A,Friend,Final Reading,Appropriations bill,2212,2007
LB317,Speaker Flood,Final Reading,Provide for deficit appropriations ,576,2007
LB318,Speaker Flood,Final Reading,Appropriate funds for salaries of members of the Legislature,575,2007
LB319,Speaker Flood,Final Reading,Appropriate funds for salaries of constitutional officers,574,2007
LB320,Speaker Flood,Final Reading,Appropriate funds for capital construction,525,2007
LB321,Speaker Flood,Final Reading,Appropriate funds for state government expenses,578,2007
LB322,Speaker Flood,Final Reading,Change provisions relating to certain funds and provide for transfers of funds and extend an excise tax,656,2007
LB323,Speaker Flood,Final Reading,Provide for transfers from the Cash Reserve Fund,668,2007
LB324,Speaker Flood,Final Reading,Change provisions relating to state patrol retirement system contributions,655,2007
LB324A,Synowiecki,Final Reading,Appropriations bill,2019,2007
LB325,Speaker Flood,Indefinitely postponed,Repeal business child care income tax credits,450,2007
LB326,Speaker Flood,Indefinitely postponed,Change eligibility provisions for certain types of public assistance,645,2007
LB327,Speaker Flood,Indefinitely postponed,Change provisions relating to child care reimbursement rates,647,2007
LB328,Nebraska Retirement Systems Committee ,Final Reading,Change state and county retirement provisions and adopt the Law Enforcement Officers Retirement Survey Act,268,2007
LB328A,Synowiecki,Final Reading,Appropriations bill,2020,2007
LB329,Nebraska Retirement Systems Committee,Indefinitely postponed,Change qualifications of the director of the Public Employees Retirement Board,715,2007
LB330,Schimek,Indefinitely postponed,Change the Nebraska Telecommunications Regulation Act,625,2007
LB331,Janssen,Indefinitely postponed,Eliminate the estate tax and sales tax on construction services and change income tax calculations,468,2007
LB332,Janssen,Indefinitely postponed,Change procedures for appeals to the Tax Equalization and Review Commission,381,2007
LB333,Johnson,Final Reading,Change the Private Onsite Wastewater Treatment System Contractors Certification and System Registration Act ,584,2007
LB334,Dierks,Final Reading,Provide for merger of Department of Property Assessment and Taxation and Department of Revenue and change property tax provisions,663,2007
LB335,Kruse,Indefinitely postponed,Change provisions relating to civil protective custody,765,2007
LB336,Kruse,Indefinitely postponed,Change penalties for violation of certain liquor laws relating to minors,305,2007
LB337,Kruse,Indefinitely postponed,Provide for confiscation of identification of minors attempting to purchase alcohol,201,2007
LB338,Gay,Final Reading,Change income tax deductions for the Nebraska educational savings plan trust,732,2007
LB339,Business and Labor Committee ,Final Reading,Change provisions relating to claims against the state,117,2007
LB340,Wightman,Indefinitely postponed,Authorize a local option income tax for school capital construction purposes,770,2007
LB341,Schimek,Final Reading,Change Uniform Child Custody Jurisdiction Act provisions and adopt the Uniform Child Abduction Prevention Act,775,2007
LB342,Raikes,Final Reading,Adopt the Community College Foundation and Equalization Aid Act and change postsecondary education scholarship provisions,671,2007
LB342A,Raikes,Final Reading,Appropriations bill,2755,2007
LB343,Langemeier,Select File,Provide an income tax credit for investments in biodiesel facilities,815,2007
LB343A,Langemeier,Final Reading,Appropriations bill,1953,2007
LB344,Burling,Indefinitely postponed,Change the termination date of the Tax Policy Reform Commission,194,2007
LB345,Burling,Indefinitely postponed,Change the state song,260,2007
LB346,Pahls,Indefinitely postponed,Change provisions relating to farm product security interests,690,2007
LB347,Mines,Final Reading,Change provisions relating to the giving of bonds by city or village officials,499,2007
LB348,Burling,Indefinitely postponed,Change and eliminate provisions relating to the discontinuance of township organization,313,2007
LB349,Stuthman,Final Reading,Change provisions relating to motor vehicles and trailers,53,2007
LB350,Stuthman,Indefinitely postponed,Authorize a city or village to adopt an ordinance covering use of certain insurance proceeds,500,2007
LB351,Stuthman,Final Reading,Change and provide for transitional public assistance payments,68,2007
LB352,Langemeier,Indefinitely postponed,Adopt the Nebraska Shooting Range Protection Act ,711,2007
LB353,Legislative Performance Audit Committee,Indefinitely postponed,Change the Quality Education Accountability Act,682,2007
LB354,Cornett,Indefinitely postponed,Exclude military retirement benefits from income tax,753,2007
LB355,Cornett,Indefinitely postponed,Change provisions relating to taxation of air carriers,759,2007
LB356,Cornett,Indefinitely postponed,Change provisions relating to greenbelted agricultural land,794,2007
LB357,Flood,Indefinitely postponed,"Provide for community schools, operating councils, elementary grants, and attendance centers",454,2007
LB358,Hudkins,Final Reading,Change and eliminate provisions relating to motor carriers,54,2007
LB359,Pankonin,Indefinitely postponed,Change use of certain sales tax proceeds,501,2007
LB360,Pedersen,Indefinitely postponed,Change limitations on the issuance of Purple Heart license plates,811,2007
LB361,Raikes,Indefinitely postponed,Prohibit public funds' use for dues or membership fees as prescribed,439,2007
LB362,Raikes,Indefinitely postponed,Change budget limitations and require audits of joint entities,482,2007
LB363,Ashford,Indefinitely postponed,Adopt the Legal Education for Public Service Loan Repayment Act,866,2007
LB364,Flood,Final Reading,Change apportionment of inheritance tax revenue,606,2007
LB365,Synowiecki,Indefinitely postponed,Change Judges Retirement Act provisions relating to early retirement,737,2007
LB366,Janssen,Indefinitely postponed,"Provide state funding for community colleges, change valuation of agricultural land, and create a homestead exemption",733,2007
LB367,Janssen,Final Reading,"Change and eliminate estate tax, property tax, sales and use tax, and income tax provisions",734,2007
LB367A,Janssen,Final Reading,Appropriations bill,2527,2007
LB368,Erdman,Final Reading,Adopt the Nebraska Limited Cooperative Association Act,389,2007
LB368A,Erdman,Final Reading,Appropriations bill,2425,2007
LB369,Erdman,Indefinitely postponed,Redefine mental health practice for licensure of mental health practitioners,209,2007
LB370,Erdman,Indefinitely postponed,Adopt the Law Enforcement Officers Retirement Survey Act,601,2007
LB370A,Erdman,Indefinitely postponed,Appropriations bill,1669,2007
LB371,Erdman,Indefinitely postponed,Adopt the Nebraska Peace Officer Retirement Act,235,2007
LB372,Erdman,Indefinitely postponed,Adopt the Law Enforcement Officer Retirement Act,604,2007
LB373,Schimek,Final Reading,Provide for inadmissibility of apologies regarding medical care as evidence,393,2007
LB374,Johnson,Final Reading,Change repayment provisions for rural health education loans,111,2007
